gdhA: HAIN001_00203	HAIN002_00273	HAIN003_00473	HAIN004_00707	HAIN005_01972	HAIN006_01111	HAIN007_00257	HAIN008_00454	HAIN009_00399	HAIN010_00871
metN: HAIN001_00663	HAIN002_00848	HAIN003_00426	HAIN004_01423	HAIN005_01548	HAIN006_00420	HAIN007_00789	HAIN008_00415	HAIN009_01686	HAIN010_01586
hisS: HAIN001_00395	HAIN002_00468	HAIN003_00227	HAIN004_00935	HAIN005_00317	HAIN006_00917	HAIN007_00507	HAIN008_00214	HAIN009_00205	HAIN010_01711
acpP: HAIN001_00169	HAIN002_00238	HAIN003_00513	HAIN004_00671	HAIN005_01937	HAIN006_01146	HAIN007_00223	HAIN008_00488	HAIN009_00433	HAIN010_00817
group_3739: HAIN001_00170	HAIN002_00239	HAIN003_00512	HAIN004_00672	HAIN005_01938	HAIN006_01145	HAIN007_00224	HAIN008_00487	HAIN009_00432	HAIN010_00816
sodA: HAIN001_01155	HAIN002_01190	HAIN003_01328	HAIN004_01816	HAIN005_01163	HAIN006_01956	HAIN007_01293	HAIN008_01267	HAIN009_01318	HAIN010_00752
lysA: HAIN001_00787	HAIN002_00858	HAIN003_01695	HAIN004_01432	HAIN005_01537	HAIN006_00409	HAIN007_00915	HAIN008_01625	HAIN009_01676	HAIN010_00170
folD: HAIN001_00648	HAIN002_00833	HAIN003_00410	HAIN004_01406	HAIN005_01563	HAIN006_00435	HAIN007_00774	HAIN008_00400	HAIN009_01702	HAIN010_01601
yafJ: HAIN001_01106	HAIN002_01142	HAIN003_01377	HAIN004_01764	HAIN005_01212	HAIN006_00112	HAIN007_01246	HAIN008_01316	HAIN009_01366	HAIN010_00654
xerD: HAIN001_00338	HAIN002_00412	HAIN003_00295	HAIN004_00876	HAIN005_00258	HAIN006_00976	HAIN007_00454	HAIN008_00273	HAIN009_00261	HAIN010_01774
ilvI: HAIN001_01658	HAIN002_01383	HAIN003_01118	HAIN004_02033	HAIN005_00973	HAIN006_01766	HAIN007_01820	HAIN008_01075	HAIN009_01124	HAIN010_01242
yhgF: HAIN001_00596	HAIN002_00665	HAIN003_00025	HAIN004_01222	HAIN005_01721	HAIN006_00647	HAIN007_00723	HAIN008_00016	HAIN009_00016	HAIN010_00212
cysE: HAIN001_00645	HAIN002_00830	HAIN003_00407	HAIN004_01403	HAIN005_01566	HAIN006_00438	HAIN007_00771	HAIN008_00397	HAIN009_01705	HAIN010_01603
rsmA: HAIN001_00577	HAIN002_00646	HAIN003_00044	HAIN004_01204	HAIN005_01739	HAIN006_00665	HAIN007_00706	HAIN008_00035	HAIN009_00034	HAIN010_00195
fdhD: HAIN001_00005	HAIN002_00005	HAIN003_00679	HAIN004_00488	HAIN005_00005	HAIN006_00005	HAIN007_00005	HAIN008_00648	HAIN009_00703	HAIN010_01492
group_769: HAIN001_00827	HAIN002_00893	HAIN003_01654	HAIN004_01474	HAIN005_01501	HAIN006_00372	HAIN007_00951	HAIN008_01587	HAIN009_01640	HAIN010_00447
thrC: HAIN001_00093	HAIN002_00162	HAIN003_00590	HAIN004_00589	HAIN005_00130	HAIN006_00088	HAIN007_00151	HAIN008_00561	HAIN009_00513	HAIN010_00849
nhaA: HAIN001_00249	HAIN002_00316	HAIN003_00389	HAIN004_00751	HAIN005_00167	HAIN006_01068	HAIN007_00302	HAIN008_00379	HAIN009_00357	HAIN010_01623
group_268: HAIN001_01635	HAIN002_01479	HAIN003_01090	HAIN004_00031	HAIN005_00870	HAIN006_01665	HAIN007_01769	HAIN008_01052	HAIN009_01098	HAIN010_01029
group_1010: HAIN001_00068	HAIN002_00070	HAIN003_00616	HAIN004_00561	HAIN005_00062	HAIN006_00064	HAIN007_00059	HAIN008_00585	HAIN009_00640	HAIN010_01556
clpP: HAIN001_00769	HAIN002_00808	HAIN003_01713	HAIN004_01381	HAIN005_01651	HAIN006_00579	HAIN007_00897	HAIN008_01643	HAIN009_01774	HAIN010_00377
thyA: HAIN001_00970	HAIN002_01031	HAIN003_01498	HAIN004_01628	HAIN005_01369	HAIN006_00231	HAIN007_01094	HAIN008_01436	HAIN009_01485	HAIN010_00541
fabD: HAIN001_00171	HAIN002_00240	HAIN003_00511	HAIN004_00673	HAIN005_01939	HAIN006_01144	HAIN007_00225	HAIN008_00486	HAIN009_00431	HAIN010_00815
group_1658: HAIN001_01139	HAIN002_01174	HAIN003_01345	HAIN004_01799	HAIN005_01179	HAIN006_01972	HAIN007_01277	HAIN008_01283	HAIN009_01334	HAIN010_00736
znuC: HAIN001_00437	HAIN002_00509	HAIN003_00184	HAIN004_01047	HAIN005_01882	HAIN006_00806	HAIN007_00548	HAIN008_00173	HAIN009_00163	HAIN010_01752
pyrG: HAIN001_01142	HAIN002_01178	HAIN003_01341	HAIN004_01803	HAIN005_01175	HAIN006_01968	HAIN007_01281	HAIN008_01279	HAIN009_01330	HAIN010_00740
group_680: HAIN001_00166	HAIN002_00236	HAIN003_00515	HAIN004_00669	HAIN005_01935	HAIN006_01148	HAIN007_00221	HAIN008_00490	HAIN009_00435	HAIN010_00819
dnaK: HAIN001_01302	HAIN002_01792	HAIN003_00809	HAIN004_00355	HAIN005_00593	HAIN006_01318	HAIN007_01439	HAIN008_00770	HAIN009_00827	HAIN010_00937
pdxH: HAIN001_00929	HAIN002_00995	HAIN003_01544	HAIN004_01580	HAIN005_01402	HAIN006_00272	HAIN007_01053	HAIN008_01479	HAIN009_01527	HAIN010_00070
group_3877: HAIN001_00801	HAIN002_00870	HAIN003_01682	HAIN004_01447	HAIN005_01525	HAIN006_00397	HAIN007_00927	HAIN008_01613	HAIN009_01664	HAIN010_00156
alsT_2: HAIN001_00949	HAIN002_01008	HAIN003_01522	HAIN004_01605	HAIN005_01390	HAIN006_00253	HAIN007_01073	HAIN008_01458	HAIN009_01506	HAIN010_00083
rplI: HAIN001_00572	HAIN002_00639	HAIN003_00051	HAIN004_01196	HAIN005_01746	HAIN006_00672	HAIN007_00699	HAIN008_00042	HAIN009_00039	HAIN010_00188
alaS: HAIN001_00881	HAIN002_00947	HAIN003_01595	HAIN004_01528	HAIN005_01452	HAIN006_00323	HAIN007_01005	HAIN008_01539	HAIN009_01587	HAIN010_00499
tyrP_2: HAIN001_00507	HAIN002_00577	HAIN003_00115	HAIN004_01129	HAIN005_01812	HAIN006_00735	HAIN007_00637	HAIN008_00105	HAIN009_00095	HAIN010_00138
rplU: HAIN001_00946	HAIN002_01005	HAIN003_01525	HAIN004_01602	HAIN005_01393	HAIN006_00256	HAIN007_01070	HAIN008_01461	HAIN009_01509	HAIN010_00080
btuD_1: HAIN001_00388	HAIN002_00460	HAIN003_00235	HAIN004_00927	HAIN005_00310	HAIN006_00924	HAIN007_00500	HAIN008_00221	HAIN009_00213	HAIN010_01704
tsf: HAIN001_00979	HAIN002_01040	HAIN003_01490	HAIN004_01637	HAIN005_01360	HAIN006_00222	HAIN007_01103	HAIN008_01426	HAIN009_01476	HAIN010_00550
group_881: HAIN001_01454	HAIN002_01650	HAIN003_00923	HAIN004_00140	HAIN005_00720	HAIN006_01573	HAIN007_01605	HAIN008_00879	HAIN009_01016	HAIN010_01128
group_1198: HAIN001_01159	HAIN002_01194	HAIN003_01324	HAIN004_01820	HAIN005_01159	HAIN006_01952	HAIN007_01297	HAIN008_01263	HAIN009_01314	HAIN010_00756
fabH: HAIN001_00172	HAIN002_00241	HAIN003_00510	HAIN004_00674	HAIN005_01940	HAIN006_01143	HAIN007_00226	HAIN008_00485	HAIN009_00430	HAIN010_00814
pflA: HAIN001_00192	HAIN002_00261	HAIN003_00498	HAIN004_00695	HAIN005_01960	HAIN006_01123	HAIN007_00246	HAIN008_00465	HAIN009_00410	HAIN010_00792
iscU: HAIN001_00403	HAIN002_00476	HAIN003_00219	HAIN004_00943	HAIN005_00325	HAIN006_00909	HAIN007_00515	HAIN008_00206	HAIN009_00197	HAIN010_01719
rpmE: HAIN001_00821	HAIN002_00887	HAIN003_01660	HAIN004_01468	HAIN005_01507	HAIN006_00378	HAIN007_00945	HAIN008_01593	HAIN009_01646	HAIN010_00426
group_3844: HAIN001_01812	HAIN002_01900	HAIN003_00697	HAIN004_00471	HAIN005_00419	HAIN006_01198	HAIN007_01967	HAIN008_00666	HAIN009_00723	HAIN010_01400
group_820: HAIN001_01118	HAIN002_01153	HAIN003_01366	HAIN004_01778	HAIN005_01197	HAIN006_01991	HAIN007_01257	HAIN008_01302	HAIN009_01355	HAIN010_00718
accA: HAIN001_00435	HAIN002_00507	HAIN003_00186	HAIN004_01044	HAIN005_01884	HAIN006_00808	HAIN007_00546	HAIN008_00175	HAIN009_00165	HAIN010_01750
sdcS: HAIN001_00647	HAIN002_00832	HAIN003_00409	HAIN004_01405	HAIN005_01564	HAIN006_00436	HAIN007_00773	HAIN008_00399	HAIN009_01703	HAIN010_01602
surA: HAIN001_00488	HAIN002_00559	HAIN003_00134	HAIN004_01108	HAIN005_01831	HAIN006_00754	HAIN007_00618	HAIN008_00124	HAIN009_00113	HAIN010_00434
tenA: HAIN001_00385	HAIN002_00457	HAIN003_00238	HAIN004_00923	HAIN005_00307	HAIN006_00927	HAIN007_00497	HAIN008_00224	HAIN009_00216	HAIN010_00120
trxA: HAIN001_00086	HAIN002_00087	HAIN003_00597	HAIN004_00581	HAIN005_00078	HAIN006_00081	HAIN007_00077	HAIN008_00568	HAIN009_00621	HAIN010_00856
group_583: HAIN001_01427	HAIN002_01679	HAIN003_00895	HAIN004_00094	HAIN005_00694	HAIN006_01601	HAIN007_01580	HAIN008_00853	HAIN009_01042	HAIN010_01103
rpsB: HAIN001_00978	HAIN002_01039	HAIN003_01491	HAIN004_01636	HAIN005_01361	HAIN006_00223	HAIN007_01102	HAIN008_01427	HAIN009_01477	HAIN010_00549
group_1665: HAIN001_01164	HAIN002_01199	HAIN003_01319	HAIN004_01826	HAIN005_01154	HAIN006_01947	HAIN007_01302	HAIN008_01258	HAIN009_01309	HAIN010_00761
pheA: HAIN001_01211	HAIN002_01243	HAIN003_01269	HAIN004_01874	HAIN005_01116	HAIN006_01909	HAIN007_01348	HAIN008_01215	HAIN009_01262	HAIN010_01474
group_3686: HAIN001_01187	HAIN002_01220	HAIN003_01293	HAIN004_01851	HAIN005_01139	HAIN006_01932	HAIN007_01325	HAIN008_01238	HAIN009_01285	HAIN010_00784
mtgA: HAIN001_00898	HAIN002_00964	HAIN003_01578	HAIN004_01546	HAIN005_01435	HAIN006_00305	HAIN007_01022	HAIN008_01522	HAIN009_01570	HAIN010_00516
group_1468: HAIN001_00199	HAIN002_00269	HAIN003_00477	HAIN004_00703	HAIN005_01968	HAIN006_01115	HAIN007_00253	HAIN008_00458	HAIN009_00403	HAIN010_00867
citG: HAIN001_00022	HAIN002_00022	HAIN003_00661	HAIN004_00507	HAIN005_00025	HAIN006_00027	HAIN007_00022	HAIN008_00631	HAIN009_00686	HAIN010_01509
group_3901: HAIN001_01210	HAIN002_01242	HAIN003_01270	HAIN004_01873	HAIN005_01117	HAIN006_01910	HAIN007_01347	HAIN008_01216	HAIN009_01263	HAIN010_01475
rpoE: HAIN001_00675	HAIN002_00684	HAIN003_01823	HAIN004_01242	HAIN005_01627	HAIN006_00558	HAIN007_00801	HAIN008_01744	HAIN009_01874	HAIN010_00230
menA: HAIN001_00537	HAIN002_00606	HAIN003_00086	HAIN004_01162	HAIN005_01782	HAIN006_00705	HAIN007_00666	HAIN008_00076	HAIN009_00066	HAIN010_00351
frr: HAIN001_00875	HAIN002_00941	HAIN003_01601	HAIN004_01522	HAIN005_01458	HAIN006_00329	HAIN007_00999	HAIN008_01545	HAIN009_01593	HAIN010_00493
rimI: HAIN001_00011	HAIN002_00011	HAIN003_00673	HAIN004_00493	HAIN005_00010	HAIN006_00012	HAIN007_00011	HAIN008_00642	HAIN009_00697	HAIN010_01498
recD: HAIN001_01386	HAIN002_01545	HAIN003_01016	HAIN004_00248	HAIN005_00793	HAIN006_01498	HAIN007_01534	HAIN008_00965	HAIN009_00914	HAIN010_01089
pgsA: HAIN001_00135	HAIN002_00208	HAIN003_00545	HAIN004_00637	HAIN005_00401	HAIN006_01178	HAIN007_00193	HAIN008_00518	HAIN009_00467	HAIN010_01684
ftsQ: HAIN001_01207	HAIN002_01239	HAIN003_01274	HAIN004_01870	HAIN005_01120	HAIN006_01913	HAIN007_01344	HAIN008_01219	HAIN009_01266	HAIN010_01478
group_1300: HAIN001_01700	HAIN002_01334	HAIN003_01170	HAIN004_01982	HAIN005_01018	HAIN006_01811	HAIN007_01860	HAIN008_01121	HAIN009_01171	HAIN010_01287
group_3859: HAIN001_00041	HAIN002_00041	HAIN003_00642	HAIN004_00531	HAIN005_00044	HAIN006_00046	HAIN007_00041	HAIN008_00612	HAIN009_00667	HAIN010_01528
guaA: HAIN001_00246	HAIN002_00313	HAIN003_00392	HAIN004_00748	HAIN005_00164	HAIN006_01071	HAIN007_00299	HAIN008_00382	HAIN009_00360	HAIN010_01620
iscR: HAIN001_00405	HAIN002_00478	HAIN003_00217	HAIN004_00945	HAIN005_00327	HAIN006_00907	HAIN007_00517	HAIN008_00204	HAIN009_00195	HAIN010_01721
glmS: HAIN001_00458	HAIN002_00528	HAIN003_00164	HAIN004_01074	HAIN005_01860	HAIN006_00785	HAIN007_00567	HAIN008_00154	HAIN009_00144	HAIN010_00049
nqrB: HAIN001_00180	HAIN002_00249	HAIN003_00484	HAIN004_00683	HAIN005_01948	HAIN006_01135	HAIN007_00234	HAIN008_00477	HAIN009_00422	HAIN010_00806
sapB_2: HAIN001_01714	HAIN002_01321	HAIN003_01185	HAIN004_01967	HAIN005_01031	HAIN006_01824	HAIN007_01874	HAIN008_01136	HAIN009_01184	HAIN010_01301
murE: HAIN001_01199	HAIN002_01231	HAIN003_01282	HAIN004_01862	HAIN005_01128	HAIN006_01921	HAIN007_01336	HAIN008_01227	HAIN009_01274	HAIN010_01486
rnfH: HAIN001_00424	HAIN002_00496	HAIN003_00197	HAIN004_01033	HAIN005_01895	HAIN006_00819	HAIN007_00535	HAIN008_00186	HAIN009_00176	HAIN010_01739
rho: HAIN001_00324	HAIN002_00389	HAIN003_00310	HAIN004_00862	HAIN005_00244	HAIN006_00990	HAIN007_00440	HAIN008_00287	HAIN009_00283	HAIN010_01788
prmB: HAIN001_01266	HAIN002_01296	HAIN003_01214	HAIN004_01937	HAIN005_01057	HAIN006_01849	HAIN007_01404	HAIN008_01161	HAIN009_01209	HAIN010_00900
glpG: HAIN001_00659	HAIN002_00844	HAIN003_00422	HAIN004_01419	HAIN005_01552	HAIN006_00424	HAIN007_00785	HAIN008_00411	HAIN009_01690	HAIN010_01590
hflK: HAIN001_00165	HAIN002_00235	HAIN003_00516	HAIN004_00668	HAIN005_01934	HAIN006_01149	HAIN007_00220	HAIN008_00491	HAIN009_00436	HAIN010_00820
citD: HAIN001_00025	HAIN002_00025	HAIN003_00658	HAIN004_00513	HAIN005_00028	HAIN006_00030	HAIN007_00025	HAIN008_00628	HAIN009_00683	HAIN010_01512
purD: HAIN001_00954	HAIN002_01013	HAIN003_01517	HAIN004_01610	HAIN005_01385	HAIN006_00247	HAIN007_01078	HAIN008_01453	HAIN009_01501	HAIN010_00088
rpmH: HAIN001_01067	HAIN002_01123	HAIN003_01398	HAIN004_01725	HAIN005_01231	HAIN006_00131	HAIN007_01192	HAIN008_01335	HAIN009_01393	HAIN010_00632
group_1169: HAIN001_01028	HAIN002_01090	HAIN003_01432	HAIN004_01687	HAIN005_01265	HAIN006_00167	HAIN007_01156	HAIN008_01369	HAIN009_01427	HAIN010_00596
group_1290: HAIN001_01671	HAIN002_01365	HAIN003_01136	HAIN004_02018	HAIN005_00984	HAIN006_01777	HAIN007_01831	HAIN008_01092	HAIN009_01135	HAIN010_01253
secB: HAIN001_00806	HAIN002_00874	HAIN003_01676	HAIN004_01452	HAIN005_01521	HAIN006_00392	HAIN007_00931	HAIN008_01608	HAIN009_01660	HAIN010_00366
trmL: HAIN001_00831	HAIN002_00897	HAIN003_01649	HAIN004_01478	HAIN005_01497	HAIN006_00368	HAIN007_00955	HAIN008_01583	HAIN009_01636	HAIN010_00451
cdsA: HAIN001_00984	HAIN002_01045	HAIN003_01485	HAIN004_01642	HAIN005_01355	HAIN006_00217	HAIN007_01108	HAIN008_01421	HAIN009_01471	HAIN010_00555
slmA: HAIN001_01022	HAIN002_01084	HAIN003_01438	HAIN004_01681	HAIN005_01312	HAIN006_00173	HAIN007_01150	HAIN008_01376	HAIN009_01433	HAIN010_00590
cysB: HAIN001_01265	HAIN002_01295	HAIN003_01215	HAIN004_01936	HAIN005_01058	HAIN006_01850	HAIN007_01403	HAIN008_01162	HAIN009_01210	HAIN010_00899
hslO: HAIN001_00877	HAIN002_00943	HAIN003_01599	HAIN004_01524	HAIN005_01456	HAIN006_00327	HAIN007_01001	HAIN008_01543	HAIN009_01591	HAIN010_00495
group_252: HAIN001_01309	HAIN002_01785	HAIN003_00818	HAIN004_00348	HAIN005_00600	HAIN006_01327	HAIN007_01446	HAIN008_00777	HAIN009_00834	HAIN010_00944
seqA: HAIN001_00207	HAIN002_00277	HAIN003_00468	HAIN004_00712	HAIN005_01976	HAIN006_01107	HAIN007_00261	HAIN008_00450	HAIN009_00395	HAIN010_00875
gspF: HAIN001_00326	HAIN002_00391	HAIN003_00308	HAIN004_00864	HAIN005_00246	HAIN006_00988	HAIN007_00442	HAIN008_00285	HAIN009_00281	HAIN010_01786
ispG: HAIN001_00394	HAIN002_00467	HAIN003_00228	HAIN004_00934	HAIN005_00316	HAIN006_00918	HAIN007_00506	HAIN008_00215	HAIN009_00206	HAIN010_01710
engB: HAIN001_01185	HAIN002_01218	HAIN003_01296	HAIN004_01849	HAIN005_01141	HAIN006_01934	HAIN007_01323	HAIN008_01240	HAIN009_01287	HAIN010_00782
group_413: HAIN001_01718	HAIN002_01317	HAIN003_01190	HAIN004_01963	HAIN005_01035	HAIN006_01828	HAIN007_01878	HAIN008_01140	HAIN009_01188	HAIN010_01305
fabI: HAIN001_01809	HAIN002_01897	HAIN003_00700	HAIN004_00469	HAIN005_00422	HAIN006_01201	HAIN007_01964	HAIN008_00669	HAIN009_00726	HAIN010_01397
tsaD: HAIN001_00558	HAIN002_00625	HAIN003_00065	HAIN004_01181	HAIN005_01760	HAIN006_00686	HAIN007_00685	HAIN008_00056	HAIN009_00047	HAIN010_00331
tpiA: HAIN001_00734	HAIN002_00771	HAIN003_01743	HAIN004_01341	HAIN005_01679	HAIN006_00605	HAIN007_00858	HAIN008_01668	HAIN009_01811	HAIN010_00417
ftsW: HAIN001_01203	HAIN002_01235	HAIN003_01278	HAIN004_01866	HAIN005_01124	HAIN006_01917	HAIN007_01340	HAIN008_01223	HAIN009_01270	HAIN010_01482
mltG: HAIN001_00487	HAIN002_00558	HAIN003_00135	HAIN004_01107	HAIN005_01832	HAIN006_00757	HAIN007_00617	HAIN008_00125	HAIN009_00114	HAIN010_00435
mlaE: HAIN001_01153	HAIN002_01188	HAIN003_01330	HAIN004_01814	HAIN005_01165	HAIN006_01958	HAIN007_01291	HAIN008_01269	HAIN009_01320	HAIN010_00750
group_1052: HAIN001_00369	HAIN002_00442	HAIN003_00253	HAIN004_00907	HAIN005_00292	HAIN006_00942	HAIN007_00482	HAIN008_00239	HAIN009_00231	HAIN010_00103
ybeT: HAIN001_01696	HAIN002_01338	HAIN003_01165	HAIN004_01987	HAIN005_01014	HAIN006_01807	HAIN007_01856	HAIN008_01117	HAIN009_01167	HAIN010_01283
kdkA: HAIN001_00285	HAIN002_00350	HAIN003_00351	HAIN004_00818	HAIN005_00205	HAIN006_01029	HAIN007_00338	HAIN008_00328	HAIN009_00323	HAIN010_00012
rsmB: HAIN001_00671	HAIN002_00688	HAIN003_01827	HAIN004_01246	HAIN005_01631	HAIN006_00562	HAIN007_00797	HAIN008_01748	HAIN009_01878	HAIN010_00234
tamB: HAIN001_00752	HAIN002_00788	HAIN003_01734	HAIN004_01359	HAIN005_01666	HAIN006_00592	HAIN007_00877	HAIN008_01660	HAIN009_01795	HAIN010_00399
group_1526: HAIN001_00478	HAIN002_00548	HAIN003_00144	HAIN004_01096	HAIN005_01840	HAIN006_00765	HAIN007_00608	HAIN008_00134	HAIN009_00124	HAIN010_00444
group_871: HAIN001_01418	HAIN002_01688	HAIN003_00884	HAIN004_00084	HAIN005_00685	HAIN006_01610	HAIN007_01571	HAIN008_00844	HAIN009_01051	HAIN010_01150
mgsA: HAIN001_01299	HAIN002_01794	HAIN003_00807	HAIN004_00357	HAIN005_00591	HAIN006_01316	HAIN007_01437	HAIN008_00768	HAIN009_00825	HAIN010_00935
group_1511: HAIN001_00400	HAIN002_00473	HAIN003_00222	HAIN004_00940	HAIN005_00322	HAIN006_00912	HAIN007_00512	HAIN008_00209	HAIN009_00200	HAIN010_01716
rseA: HAIN001_00676	HAIN002_00683	HAIN003_01822	HAIN004_01241	HAIN005_01626	HAIN006_00557	HAIN007_00802	HAIN008_01743	HAIN009_01873	HAIN010_00229
glpB: HAIN001_00740	HAIN002_00777	HAIN003_01754	HAIN004_01349	HAIN005_01673	HAIN006_00599	HAIN007_00864	HAIN008_01680	HAIN009_01805	HAIN010_00411
group_788: HAIN001_00952	HAIN002_01011	HAIN003_01519	HAIN004_01608	HAIN005_01387	HAIN006_00249	HAIN007_01076	HAIN008_01455	HAIN009_01503	HAIN010_00086
cysQ: HAIN001_00587	HAIN002_00654	HAIN003_00035	HAIN004_01213	HAIN005_01730	HAIN006_00656	HAIN007_00714	HAIN008_00025	HAIN009_00025	HAIN010_00203
mog: HAIN001_00364	HAIN002_00437	HAIN003_00258	HAIN004_00901	HAIN005_00287	HAIN006_00947	HAIN007_00477	HAIN008_00244	HAIN009_00236	HAIN010_00108
mobB: HAIN001_00917	HAIN002_00983	HAIN003_01557	HAIN004_01567	HAIN005_01416	HAIN006_00286	HAIN007_01041	HAIN008_01503	HAIN009_01550	HAIN010_01641
metK: HAIN001_01239	HAIN002_01269	HAIN003_01242	HAIN004_01907	HAIN005_01085	HAIN006_01876	HAIN007_01374	HAIN008_01189	HAIN009_01236	HAIN010_01420
group_1473: HAIN001_00220	HAIN002_00290	HAIN003_00453	HAIN004_00726	HAIN005_01991	HAIN006_01094	HAIN007_00274	HAIN008_00437	HAIN009_00382	HAIN010_01653
argR: HAIN001_01274	HAIN002_01304	HAIN003_01206	HAIN004_01946	HAIN005_01048	HAIN006_01841	HAIN007_01412	HAIN008_01153	HAIN009_01201	HAIN010_00908
group_1148: HAIN001_00904	HAIN002_00970	HAIN003_01571	HAIN004_01553	HAIN005_01429	HAIN006_00299	HAIN007_01028	HAIN008_01516	HAIN009_01564	HAIN010_00524
metI: HAIN001_00088	HAIN002_00089	HAIN003_00595	HAIN004_00583	HAIN005_00080	HAIN006_00083	HAIN007_00079	HAIN008_00566	HAIN009_00619	HAIN010_00854
tig: HAIN001_00768	HAIN002_00807	HAIN003_01714	HAIN004_01380	HAIN005_01652	HAIN006_00580	HAIN007_00896	HAIN008_01644	HAIN009_01775	HAIN010_00378
lacC: HAIN001_00477	HAIN002_00547	HAIN003_00145	HAIN004_01095	HAIN005_01841	HAIN006_00766	HAIN007_00607	HAIN008_00135	HAIN009_00125	HAIN010_00445
phoR: HAIN001_01442	HAIN002_01661	HAIN003_00912	HAIN004_00130	HAIN005_00709	HAIN006_01584	HAIN007_01595	HAIN008_00868	HAIN009_01027	HAIN010_01118
rseC: HAIN001_00916	HAIN002_00982	HAIN003_01558	HAIN004_01566	HAIN005_01417	HAIN006_00287	HAIN007_01040	HAIN008_01504	HAIN009_01552	HAIN010_01643
mukE: HAIN001_01437	HAIN002_01666	HAIN003_00906	HAIN004_00112	HAIN005_00703	HAIN006_01590	HAIN007_01590	HAIN008_00863	HAIN009_01032	HAIN010_01113
argG: HAIN001_01801	HAIN002_01891	HAIN003_00708	HAIN004_00461	HAIN005_00429	HAIN006_01210	HAIN007_01957	HAIN008_00673	HAIN009_00733	HAIN010_01389
pgpA: HAIN001_01370	HAIN002_01520	HAIN003_01044	HAIN004_00276	HAIN005_00809	HAIN006_01481	HAIN007_01508	HAIN008_00992	HAIN009_00889	HAIN010_01073
hpt: HAIN001_01219	HAIN002_01251	HAIN003_01261	HAIN004_01883	HAIN005_01103	HAIN006_01895	HAIN007_01356	HAIN008_01207	HAIN009_01254	HAIN010_01466
deaD: HAIN001_00255	HAIN002_00322	HAIN003_00383	HAIN004_00757	HAIN005_00173	HAIN006_01062	HAIN007_00319	HAIN008_00373	HAIN009_00351	HAIN010_00065
srmB: HAIN001_00451	HAIN002_00521	HAIN003_00172	HAIN004_01066	HAIN005_01867	HAIN006_00792	HAIN007_00560	HAIN008_00161	HAIN009_00151	HAIN010_00129
can: HAIN001_01365	HAIN002_01515	HAIN003_01049	HAIN004_00281	HAIN005_00814	HAIN006_01476	HAIN007_01503	HAIN008_00997	HAIN009_00884	HAIN010_01068
nusA: HAIN001_01347	HAIN002_01717	HAIN003_00855	HAIN004_00303	HAIN005_00653	HAIN006_01455	HAIN007_01482	HAIN008_00811	HAIN009_00866	HAIN010_01065
group_1625: HAIN001_00981	HAIN002_01042	HAIN003_01488	HAIN004_01639	HAIN005_01358	HAIN006_00220	HAIN007_01105	HAIN008_01424	HAIN009_01474	HAIN010_00552
group_1423: HAIN001_00708	HAIN002_00743	HAIN003_01786	HAIN004_01316	HAIN005_01594	HAIN006_00524	HAIN007_00833	HAIN008_01710	HAIN009_01837	HAIN010_00293
group_1170: HAIN001_01034	HAIN002_01095	HAIN003_01427	HAIN004_01692	HAIN005_01260	HAIN006_00162	HAIN007_01161	HAIN008_01364	HAIN009_01422	HAIN010_00601
group_3780: HAIN001_00306	HAIN002_00371	HAIN003_00328	HAIN004_00841	HAIN005_00226	HAIN006_01007	HAIN007_00421	HAIN008_00306	HAIN009_00301	HAIN010_01805
rsxC: HAIN001_01759	HAIN002_01849	HAIN003_00749	HAIN004_00421	HAIN005_00540	HAIN006_01265	HAIN007_01918	HAIN008_00712	HAIN009_00773	HAIN010_01345
trkH: HAIN001_00778	HAIN002_00817	HAIN003_01704	HAIN004_01390	HAIN005_01639	HAIN006_00570	HAIN007_00906	HAIN008_01634	HAIN009_01765	HAIN010_00179
atpF: HAIN001_00513	HAIN002_00583	HAIN003_00109	HAIN004_01135	HAIN005_01806	HAIN006_00729	HAIN007_00643	HAIN008_00099	HAIN009_00089	HAIN010_00144
gloA: HAIN001_00350	HAIN002_00424	HAIN003_00278	HAIN004_00887	HAIN005_00268	HAIN006_00966	HAIN007_00464	HAIN008_00261	HAIN009_00249	HAIN010_01762
group_1741: HAIN001_01649	HAIN002_01391	HAIN003_01107	HAIN004_00007	HAIN005_00965	HAIN006_01757	HAIN007_01814	HAIN008_01066	HAIN009_01116	HAIN010_01235
tag: HAIN001_00709	HAIN002_00744	HAIN003_01785	HAIN004_01317	HAIN005_01593	HAIN006_00523	HAIN007_00834	HAIN008_01709	HAIN009_01836	HAIN010_00294
infA: HAIN001_00576	HAIN002_00643	HAIN003_00047	HAIN004_01200	HAIN005_01742	HAIN006_00668	HAIN007_00703	HAIN008_00038	HAIN009_00035	HAIN010_00192
recF: HAIN001_01060	HAIN002_01117	HAIN003_01404	HAIN004_01718	HAIN005_01237	HAIN006_00137	HAIN007_01186	HAIN008_01341	HAIN009_01399	HAIN010_00626
rplN: HAIN001_00853	HAIN002_00919	HAIN003_01622	HAIN004_01501	HAIN005_01480	HAIN006_00351	HAIN007_00978	HAIN008_01566	HAIN009_01614	HAIN010_00472
lapB: HAIN001_01288	HAIN002_01805	HAIN003_00796	HAIN004_00368	HAIN005_00580	HAIN006_01305	HAIN007_01426	HAIN008_00757	HAIN009_00814	HAIN010_00924
